               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  78,            0.011234,            0.011341,                   0,             0.99884,             0.99885,               0.995,             0.91849,           0.0088147,           0.0091283,                   0,            0.002377,            0.002377,            0.002377
                  79,             0.01089,            0.011004,                   0,              0.9988,             0.99885,               0.995,             0.91883,            0.008779,            0.009303,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.010964,            0.011267,                   0,             0.99876,             0.99885,               0.995,             0.91493,           0.0087342,           0.0093362,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.010775,            0.010715,                   0,             0.99868,             0.99885,               0.995,             0.91951,           0.0086328,           0.0091088,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.010611,            0.010854,                   0,             0.99871,             0.99885,               0.995,             0.92115,           0.0082874,           0.0088357,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.010289,            0.010728,                   0,             0.99854,             0.99885,               0.995,             0.92023,           0.0083159,            0.008876,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.010558,            0.010521,                   0,             0.99906,             0.99885,               0.995,             0.92174,           0.0084923,           0.0091646,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.010264,            0.010457,                   0,             0.99877,             0.99885,               0.995,             0.92383,           0.0083041,           0.0086989,                   0,            0.001684,            0.001684,            0.001684
                  86,           0.0099006,            0.010281,                   0,             0.99973,             0.99885,               0.995,             0.92472,           0.0083023,           0.0087813,                   0,            0.001585,            0.001585,            0.001585
                  87,           0.0098554,            0.010303,                   0,             0.99868,             0.99885,               0.995,             0.92142,           0.0082714,           0.0087081,                   0,            0.001486,            0.001486,            0.001486
                  88,           0.0096696,           0.0096213,                   0,             0.99868,             0.99885,               0.995,             0.92623,           0.0080646,           0.0086071,                   0,            0.001387,            0.001387,            0.001387
                  89,           0.0096482,            0.010049,                   0,             0.99866,             0.99885,               0.995,             0.92604,           0.0080455,           0.0086732,                   0,            0.001288,            0.001288,            0.001288
                  90,           0.0095586,           0.0097808,                   0,             0.99872,             0.99885,               0.995,             0.92504,           0.0080883,           0.0085962,                   0,            0.001189,            0.001189,            0.001189
                  91,           0.0095398,            0.009956,                   0,             0.99881,             0.99885,               0.995,             0.92603,            0.008111,           0.0085816,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.009547,            0.010143,                   0,             0.99878,             0.99885,               0.995,             0.93103,           0.0079883,           0.0084767,                   0,            0.000991,            0.000991,            0.000991
                  93,           0.0093265,            0.010065,                   0,             0.99874,             0.99885,               0.995,             0.92736,           0.0080745,           0.0087571,                   0,            0.000892,            0.000892,            0.000892
                  94,           0.0092077,             0.01019,                   0,             0.99884,             0.99885,               0.995,             0.93064,           0.0080179,            0.008568,                   0,            0.000793,            0.000793,            0.000793
                  95,           0.0094172,           0.0099514,                   0,             0.99881,             0.99885,               0.995,             0.93153,           0.0079079,           0.0085801,                   0,            0.000694,            0.000694,            0.000694
                  96,           0.0091484,           0.0099555,                   0,             0.99907,             0.99885,               0.995,              0.9274,           0.0079052,           0.0084646,                   0,            0.000595,            0.000595,            0.000595
                  97,           0.0091442,            0.009695,                   0,             0.99927,             0.99885,               0.995,             0.93167,           0.0077594,            0.008477,                   0,            0.000496,            0.000496,            0.000496
                  98,           0.0090979,           0.0095158,                   0,             0.99933,             0.99885,               0.995,             0.92979,           0.0078056,           0.0086093,                   0,            0.000397,            0.000397,            0.000397
                  99,           0.0089559,           0.0092512,                   0,              0.9994,             0.99885,               0.995,             0.93133,           0.0077504,           0.0083967,                   0,            0.000298,            0.000298,            0.000298
